번호,번호2,학년-반-번호,자료명,저자명,청구기호,대출일,반납일
3693,A100099,3-6반-3,패시브하우스 콘서트,배성호 지음,549.781 배54ㅍ,2019.10.21,2019.10.22
3694,A100119,3-2반-14,(논리적이면서도 매력적인) 글쓰기의 기술,강미은 지음,802 강38ㄱ,2019.10.21,2019.11.04
3695,A100130,3-7반-7,미술로 보는 세상,박홍순 지음 ;여성오 논술.해제,601.3 박95ㅁ,2019.10.21,2019.11.01
3696,A100133,3-9반-2,결혼에도 전략이 필요해,김범준 ;이수빈 ;임회선 [공] 지음,591.7 김44ㄱ,2019.10.21,2019.11.08
3697,A100133,3-9반-2,(뉴욕 최고의 퍼스널 쇼퍼가 알려주는)패션 테라피,베티 할브레이치;샐리 웨디카 [공]지음;제프리 풀비마리 그림;최유경 옮김,592 할47ㅍ,2019.10.21,2019.11.08
3698,A100133,3-9반-2,문화장터를 여는 청년기획자들,원철 지음,325.04 원83ㅁ,2019.10.21,2019.10.21
3699,A100215,2002-10-10,46번째 밀실,아리스가와 아리스 지음;최고은 옮김,833.6 아298ㅅ,2019.10.21,2019.10.28
3700,A100258,,설득의 심리학,로버트 치알디니 지음;이현우 옮김,189 치62ㅅ,2019.10.21,2019.12.18
3701,A100293,3-1빈-7,실험에 미친 화학자들의 무한도전,필립 볼 지음;정옥희 옮김,430 볼898ㅅ,2019.10.21,2019.11.01
3702,A100322,,북유럽처럼,김나율 쓰고;이임경 찍다,982.302 김192ㅂ,2019.10.21,2019.12.03
3703,A100322,,나의 드로잉 아이슬란드,엄유정,982.3902 엄66ㄴ,2019.10.21,2019.12.03
3704,A100377,3-11반-7,내릴 수 없는 배,우석훈 지음,330.9 우54ㄴ,2019.10.21,2019.10.21
3705,A100377,3-11반-7,대한민국에서 감정노동자로 살아남는 법,김계순;박순주 지음,321.563 김14ㄷ,2019.10.21,2019.10.21
3706,A100380,3-5반-14,내가 사랑한 생물학 이야기,가네코 야스코;히비노 다쿠 [공]지음;고경옥 옮김,472 가194ㄴ,2019.10.21,2019.11.04
3707,A100396,3-10반-24,동물의 숨겨진 과학,캐런 섀너;재그밋 컨월 [공] 지음;진선미 옮김,491 섀194ㄷ,2019.10.21,2019.11.11
3708,A100404,3-11반-20,시작하는 드로너를 위한 아두이노 드론 마스터 북,김윤래 지음,559.34469 김66ㅅ,2019.10.21,2019.10.22
3709,A100415,2002-07-08,젊은 베르테르의 슬픔. 25,요한 볼프강 폰 괴테 지음;박찬기 옮김,808.3 세14 v.25,2019.10.21,2019.10.28
3710,A100415,2002-07-08,수레바퀴 아래서. 50,헤르만 헤세 지음;김이섭 옮김,808.3 세14 v.50,2019.10.21,2019.10.28
3711,A100422,3-7반-17,주거 인테리어 해부도감,마쓰시타 기와 지음 ;황선종 옮김,595.4 마57ㅈ,2019.10.21,2019.11.05
3712,A100435,3-2반-5,그림은 위로다,이소영 지음,650.4 이55ㄱ,2019.10.21,2020.01.06
3713,A100453,,한국이 보이는 세계사,최재호;이성호;윤세병 지음,909.5 최73ㅎ c.2,2019.10.21,2019.12.02
3714,A100457,3-4반-12,잘 지내라는 말도 없이,김동영 지음,813.6 김25ㅈ,2019.10.21,2019.11.07
3715,A100495,3-4반-13,(식탁 위의 과학)분자요리,이시카와신이치 지음 ; 홍주영 옮김,594.5 이58ㅂ,2019.10.21,2019.11.04
3716,A100533,3-4반-29,교사로 산다는 것,조너선 코졸;김명신 옮김,,2019.10.21,2019.11.01
3717,A100151,3-7반-8,스튜어디스 비밀노트,정진희 [외]지음,,2019.10.22,2019.11.12
3718,A100176,3-6반-16,인공지능 쫌 아는 10대,오승현 글;방상호 그림,004.7 오57ㅇ,2019.10.22,2019.10.25
3719,A100176,3-6반-16,모든 순간이 너였다,하태완 지음,814.6 하883ㅁ,2019.10.22,2019.11.15
3720,A100197,2002-10-21,한국의 국가형성과 민주주의,박찬표 지음,340.911 박82ㅎ,2019.10.22,2019.11.01
3721,A100214,3-9반-19,(금융인이 말하는) 금융인. 19,강세훈 외 28인 지음,336.24 부829ㅂ v.19,2019.10.22,2019.11.05
3722,A100227,3-2반-22,"재즈, 평범한 사람들의 비범한 음악",에릭 홉스봄 지음;황덕호 옮김,671.5709 홉57ㅈ,2019.10.22,2019.11.06
3723,A100280,3-9반-8,"춤, 말하는 몸",박명숙 ; 최성옥,685.04 박34ㅊ,2019.10.22,2019.12.03
3724,A100324,3-1빈-24,(즐거운 프로그래밍 경험)모두의 네트워크,미즈구치 카츠야 지음;이승룡 옮김,004.5 미77ㅁ,2019.10.22,2019.11.01
3725,A100404,3-11반-20,비행기 엔진 교과서,나카무라 간지 지음;신찬 옮김,558.3 나872ㅂ,2019.10.22,2019.11.05
3726,A100446,3-8반-13,소비자는 무엇으로 사는가?,니콜라 게겐 지음;고경란 옮김,,2019.10.22,2019.11.12
3727,A100479,3-11반-11,방구석 미술관,조원재 지음,650.4 조66ㅂ,2019.10.22,2019.11.12
3728,A100489,,당신 인생의 이야기,테드 창 지음;김상훈 옮김,843 창884ㄷ,2019.10.22,2019.12.17
3729,A100489,,숨,테드 창 지음;김상훈 옮김,843 창884ㅅ,2019.10.22,2019.12.17
3730,A100489,,빛의 과거,은희경 지음,813.6 은97ㅂ,2019.10.22,2019.12.17
3731,A100028,3-12반-2,당신이 있어 외롭지 않습니다,전지은 지음,818 전78ㄷ,2019.10.23,2019.11.01
3732,A100063,3-11반-14,적자생존,서정현 지음,802 서74ㅈ,2019.10.23,2019.11.04
3733,A100084,2002-10-03,메이즈 러너,제임스 대시너 지음 ;공보경 옮김,843 대58ㅁ,2019.10.23,2019.11.06
3734,A100099,3-6반-3,패시브하우스 콘서트,배성호 지음,549.781 배54ㅍ,2019.10.23,2019.10.29
3735,A100223,3-2반-21,세상을 바꾼 과학 이야기,권기균 지음,404 권18ㅅ,2019.10.23,2019.11.01
3736,A100314,2002-05-08,춤추는 목욕탕,김지현 지음,813.6 김78ㅊ,2019.10.23,2019.11.01
3737,A100314,2002-05-08,명상이 뇌를 바꾼다,장현갑 지음,186.5 장94ㅁ,2019.10.23,2019.11.01
3738,A100347,3-3반-23,(개정판) 문학과 예술의 사회자 1 - 선사시대부터 중세까지,아르놀트 하우저 지음;백낙청 옮김,600 하66ㅁ,2019.10.23,2019.10.30
3739,A100355,3-4반-25,엔지니어 인생에는 NG가 없다,"백일승,김재정 지음",530.04 백68ㅇ c.2,2019.10.23,2019.11.04
3740,A100366,2002-11-17,하늘과 바람과 별과 시 1955년 증보판 오리지널 디자인,윤동주 지음,811.6 윤25ㅎ,2019.10.23,2019.10.28
3741,A100366,2002-11-17,변신,히가시노 게이고 지음; 이선희 옮김,833.6 히12벼,2019.10.23,2019.10.29
3742,A100368,3-9반-10,가꾼다는 것,박사 글·그림,593 박52ㄱ,2019.10.23,2019.11.05
3743,A100416,,일단은 즐기고 보련다,황안나 지음,818 황62ㅇ,2019.10.23,2019.12.05
3744,A100416,,"다시 또, 산티아고 순례길",김소영 [외]글·사진;김소영 그림,982.7 김55ㄷ,2019.10.23,2019.12.05
3745,A100416,,(전국 백패킹 성지 가이드)백패킹 980g,고요한 지음,699.1 고65ㅂ,2019.10.23,2019.12.05
3746,A100419,,생활습관만 바꿨을 뿐인데,정이안 지음,517.3 정68ㅅ,2019.10.23,2019.11.11
3747,A100419,,(오늘부터 나는)최고의 컨디션,스즈키 유 지음;정세영 옮김,517.3 스77ㅊ,2019.10.23,2019.11.11
3748,A100422,3-7반-17,고기로 태어나서,한승태 지음,321.5 한57ㄱ,2019.10.23,2019.11.05
3749,A100525,3-2반-6,(흑설탕이 아니라)마스코바도,엄은희 지음,326.2 엄67ㅁ,2019.10.23,2019.11.04
3750,A100525,3-2반-6,(5가지 색을 더한)영양듬뿍 다이어트 레시피,최민혜 지음,594.6 최38ㅇ,2019.10.23,2019.11.04
3751,A100015,3-12반-1,질병의 탄생,홍윤철 지음,517 홍66ㅈ,2019.10.24,2019.11.01
3752,A100094,3-11반-2,(트렌드를 창조하는 자) 이노베이터,김영세 지음,639.504 김64ㅇ,2019.10.24,2019.10.31
3753,A100148,3-8반-5,(공무원이 말하는) 공무원. 20,김미진 외 19인 지음,336.24 부829ㅂ v.20,2019.10.24,2019.11.22
3754,A100178,,느낌의 진화,"안토니오 다마지오 지음;임지원,고현석 [같이]옮김;박한선",476 다32ㄴ,2019.10.24,2019.10.31
3755,A100178,,우리는 취향을 팝니다,이경미;정은아 지음,325.5 이14ㅇ,2019.10.24,2019.11.08
3756,A100205,3-12반-19,아인슈타인이 요리사에게 들려준 이야기,로버트 L 월크 지음;이창희 옮김,594.5 월877ㅇ c.2,2019.10.24,2019.11.06
3757,A100241,3-6반-21,(10대와 통하는)환경과 생태 이야기,최원형 지음,472.5 최66ㅎ,2019.10.24,2019.11.05
3758,A100249,3-2반-2,달빛 마신 소녀,켈리 반힐 지음;홍한별 옮김,843 반98ㄷ,2019.10.24,2019.10.25
3759,A100287,3-10반-21,항구의 사랑,김세희 지음,813.6 김54ㅎ,2019.10.24,2019.10.30
3760,A100323,3-11반-19,전교 꼴찌도 1등으로 만드는 혼공습관,이채원 지음,373.4 이82ㅈ,2019.10.24,2019.11.06
3761,A100323,3-11반-19,"튜브, 힘낼지 말지는 내가 결정해",하상욱 지음,818 하52ㅌ,2019.10.24,2019.11.06
3762,A100368,3-9반-10,그런 마음이 날 눈물짓게 해,고유영 [외]지음,811.6 고66ㄱ,2019.10.24,2019.11.05
3763,A100382,3-11반-8,(청소년을 위한)경제의 역사,니콜라우스 피퍼 지음;알요샤 블라우 그림;유혜자 옮김,320.9 피894ㄱ,2019.10.24,2019.10.31
3764,A100405,3-2반-23,(어메이징)조선랭킹실록,이성주 지음,911.05 이54ㅈ c.2,2019.10.24,2019.11.05
3765,A100470,3-6반-11,은유로서의 질병,수전 손택 지음;이재원 옮김,334.2 손883ㅇ,2019.10.24,2019.11.04
3766,A100470,3-6반-11,(십 대를 위한)동화 속 젠더 이야기,정수임 지음,337 정56ㄷ,2019.10.24,2019.10.25
3767,A100495,3-4반-13,경제학자의 생각법,히노백;백명자 옮김,320.04 히195ㄱ,2019.10.24,2019.11.06
3768,A100506,3-12반-15,"꿈, 지금 꼭 정해야 하나요?",김국태[외],372 김16ㄲ,2019.10.24,2020.01.06
3769,A100506,3-12반-15,국어샘과 진로샘이 함께 만든 진로독서,김영찬 외 7명 지음,372 김64ㄱ,2019.10.24,2019.10.25
3770,A100515,2002-06-28,비밀의 계절. 2,도나 타트 지음;이윤기 옮김,843 타887ㅂ v.2 c.2,2019.10.24,2019.11.01
3771,A100515,2002-06-28,브리다,파울로 코엘료 지음;권미선 옮김,879 코64ㅂ c.2,2019.10.24,2019.10.30
3772,A100522,2002-06-06,세상에서 가장 친절한 건축디자인 교과서,스즈키 토시히코;마츠시타 키와;나카야마 시게노부 지음; 김은진 옮김,542.2 스77ㅅ,2019.10.24,2019.11.01
3773,A100549,3-12반-23,핀란드 교사는 무엇이 다른가,마스다 유리야 지음;최광렬 옮김,370.9236 마57ㅍ,2019.10.24,2019.10.29
3774,A100154,,아가씨와 밤,기욤 뮈소 지음;양영란 옮김,863 뮈55ㅇ,2019.10.25,2019.12.17
3775,A100398,3-4반-9,(EBS)지식채널 건강. 01 : 몸의 이해편,EBS 지식채널 편,고 517.3 지59ㅈ v.01,2019.10.25,2019.11.01
3776,A100035,3-10반-2,IT 천재들,이재구 지음,004.099 이73ㅇ,2019.10.28,2019.11.01
3777,A100045,2002-06-07,신. 1,베르나르 베르베르 지음;이세욱 옮김,863 베297ㅅ v.1,2019.10.28,2019.11.01
3778,A100048,3-3반-18,(건축가가 말하는) 건축가. 14,이상림 외 지음,336.24 부829ㅂ v.14,2019.10.28,2019.11.04
3779,A100077,2002-08-09,(칼 세이건)코스모스,칼 세이건,443.1 세68ㅋ,2019.10.28,2019.11.04
3780,A100104,,누구나 시 하나쯤 가슴에 품고 산다,김선경 엮음,811.6 김54ㄴ,2019.10.28,2019.11.12
3781,A100104,,대도시의 사랑법,박상영 지음,813.6 박52ㄷ,2019.10.28,2019.11.01
3782,A100134,,(알고 나면 잘난 척하고 싶어지는)수학의 대발견 77,박구연 지음,410 박16ㅅ,2019.10.28,2019.11.06
3783,A100147,3-9반-3,(알랭 드 보통의) 영혼의 미술관,알랭 드 보통;존 암스트롱 [공] 지음;김한영 옮김,600.04 보885ㅇ,2019.10.28,2019.11.01
3784,A100201,3-1빈-18,굿캐스팅,지은이: 안지은,681.6 안78ㄱ,2019.10.28,2019.12.03
3785,A100280,3-6반-9,공학이란 무엇인가,성풍현 외 카이스트 교수 18명 지음,530.01 성896ㄱ,2019.10.28,2019.11.01
3786,A100327,3-7반-12,한 아이. 1,토리 헤이든 지음; 이희재 옮김,379 헤68ㅎ v.1,2019.10.28,2019.11.01
3787,A100373,3-4반-7,주기율표의 수수께끼,벤저민 와이커 지음;이충호 옮김,431 와68ㅈ,2019.10.28,2019.11.04
3788,A100415,2002-07-08,꿈의 해석,지그문트 프로이트 지음;김인순 옮김,185.5 프295ㄲ,2019.10.28,2019.11.04
3789,A100513,3-2반-25,게임을 움직이는 수학과 물리,도마에 요시키 지음 ;장진희 옮김,005.1 도32ㄱ,2019.10.28,2019.11.04
3790,A100076,3-8반-2,에밀,J.J. 루소 지음;정영하 옮김,370.8 루55ㅇ,2019.10.29,2019.11.05
3791,A100084,2002-10-03,너를 놓아줄게,클레어 맥킨토시 지음;서정아 옮김,843 맥878ㄴ,2019.10.29,2019.11.04
3792,A100093,2002-07-03,완벽한 친구를 만드는 방법,마르티나 빌드너 지음 ; 김일형 옮김,853 빌27ㅇ,2019.10.29,2019.11.05
3793,A100163,2002-09-18,(말과 글과 생각이 업그레이드되는)탄탄한 논리력,브랜던 로열 지음;장미화 옮김,170 로64ㅌ,2019.10.29,2019.11.04
3794,A100165,2002-10-07,해리포터와 비밀의 방. 2-1,조앤 K. 롤링 지음;김혜원 옮김,843 롤298ㅎ v.2-1,2019.10.29,2019.11.01
3795,A100165,2002-10-07,해리포터와 마법사의 돌. 1-1,조앤 K. 롤링 지음;김혜원 옮김,843 롤298ㅎ v.1-1,2019.10.29,2019.11.01
3796,A100216,2002-01-09,블랙코미디,유병재,818 유44ㅂ,2019.10.29,2019.11.05
3797,A100216,2002-01-09,광고천재 이제석,이제석 지음,326.143 이74ㄱ,2019.10.29,2019.11.05
3798,A100249,3-2반-2,보건교사 안은영,정세랑 지음,813.6 정54ㅂ,2019.10.29,2019.11.04
3799,A100272,,톡 까놓고 직업 톡,김상호 지음,336.24 김52ㅌ,2019.10.29,2019.11.12
3800,A100302,2002-09-10,위저드 베이커리,구병모 지음,813.6 구44ㅇ c.4,2019.10.29,2019.11.05
3801,A100302,2002-09-10,엄마를 부탁해,신경숙 지음,813.6 신14ㅇ,2019.10.29,2019.11.05
3802,A100344,2002-03-14,세상의 금속,라인하르트 오스테로트 지음;모이디 크레치만 그림;이수영 옮김,436 오57ㅅ,2019.10.29,2019.11.04
3803,A100404,3-11반-20,재난을 묻다,416세월호참사 작가기록단 재난참사기억프로젝트팀 지음,331.5 사68ㅈ,2019.10.29,2019.11.05
3804,A100407,2002-05-10,"쓸데없이, 머엉",오은정 글·그림,818 오67ㅆ,2019.10.29,2019.11.04
3805,A100454,2002-03-16,10대 꿈을 이루어주는 8가지 법칙,김태광 지음,190 김883ㅅ,2019.10.29,2019.11.04
3806,A100454,2002-03-16,사람은 왜 아플까,신근영 지음,470.4 신17ㅅ,2019.10.29,2019.11.04
3807,A100519,3-1빈-32,레 미제라블. 1,빅토르 위고 지음;정기수 옮김,808.3 세14 v.1,2019.10.29,2019.11.01
3808,A100204,2002-09-07,"마르크스 씨, 어떻게 행복해질 수 있죠?",이남석 지음,165.5 이192ㅁ,2019.10.30,2019.11.04
3809,A100204,2002-09-07,쇼펜하우어 철학이야기,이서규 지음,165.47 이54ㅅ,2019.10.30,2019.11.04
3810,A100431,2002-06-26,너의 췌장을 먹고 싶어,스미노요루 ; 키리하라 이즈미 ; 양윤옥,833.6 스38ㄴ,2019.10.30,2019.11.05
3811,A100515,2002-06-28,노래의 책,하인리히 하이네 지음;김재혁 옮김,851 하68ㄴ,2019.10.30,2019.11.05
3812,A100051,3-5반-1,어느 날 공부하기로 결심했다,박진영 외 지음,376.634 박78ㅇ,2019.10.31,2019.11.04
3813,A100094,3-11반-2,미대 나와서 무얼 할까. 1,박정준 지음,336.24 박74ㅁ v.1,2019.10.31,2019.11.04
3814,A100094,3-11반-2,1cm art (일센티 아트),김은주 글; 양현정 그림,818 김67ㅇ,2019.10.31,2019.11.04
3815,A100104,,"아무튼, 양말",구달 지음,818 구22ㅇ,2019.10.31,2019.11.12
3816,A100104,,"아무튼, 문구",김규림 지음,818 김16ㅇ,2019.10.31,2019.11.12
3817,A100104,,"아무튼, 비건",김한민 지음,818 김92ㅇ,2019.10.31,2019.11.04
3818,A100455,3-8반-15,국어시간에 케이팝읽기,공규택 지음,374.8 공16ㄱ,2019.10.31,2019.11.01
3819,A100319,2002-04-14,"토요일, 그리다",이나영 지음,813.6 이192ㅌ,2019.11.01,2019.11.04
3820,A100424,3-5반-15,친절한 생물학,후쿠오카 신이치 지음;이규원 옮김,470.4 후827ㅊ,2019.11.01,2019.11.07
3821,A100009,2002-05-01,(쉬는 시간에 읽는)젠더 이야기,"김선광,이수영 지음",337.5 김54ㅈ,2019.11.04,2019.11.06
3822,A100018,2002-11-01,(인생을 바꾸는)음악의 힘,이현모 지음,670.4 이94ㅇ,2019.11.04,2019.12.02
3823,A100036,2002-01-03,기적의 유치원,조혜경 지음,375.16 조94ㄱ,2019.11.04,2019.11.05
3824,A100084,2002-10-03,죽음을 보는 재능,M. J. 알리지 지음;김효정 옮김,843 알298ㅈ,2019.11.04,2019.11.18
3825,A100094,3-11반-2,재치놀이 이게 뭐지?,이우석 지음,714 이66ㅈ,2019.11.04,2019.11.04
3826,A100124,3-12반-3,위대한 세포,금동호 지음;안준석 그림,474 금25ㅇ,2019.11.04,2019.12.10
3827,A100125,2002-04-05,쓸모없는 악어,삼형제 지음;이효인 그림,104 삼94ㅆ,2019.11.04,2019.11.05
3828,A100163,2002-09-18,단속사회,엄기호 지음,304 엄18ㄷ,2019.11.04,2019.11.11
3829,A100165,2002-10-07,XX,앤젤라 채드윅 지음;이수영 옮김,843 채27ㅇ,2019.11.04,2019.11.07
3830,A100171,2002-11-08,페인트,이희영 지음,808.9 창48 v.89,2019.11.04,2019.11.05
3831,A100188,2002-11-09,투명인간,성석제 지음,813.6 성54ㅌ c.4,2019.11.04,2019.11.05
3832,A100192,2002-05-18,노래의 언어,한성우 지음,712 한54ㄴ,2019.11.04,2019.11.05
3833,A100215,2002-10-10,애크로이드 살인 사건,애거서 크리스트 지음;유명우 옮김,843.6081 크298ㅇ,2019.11.04,2019.11.11
3834,A100327,3-7반-12,레인보우 프로젝트,질라 베델 지음;김선영 옮김,843 베24ㄹ,2019.11.04,2019.11.06
3835,A100344,2002-03-14,플라스틱 없는 삶,윌 맥컬럼 지음;하인해 옮김,539.9 맥874ㅍ,2019.11.04,2019.11.11
3836,A100364,2002-12-15,인도네시아의 '위안부'이야기,쁘라무디야 아난따 뚜르 글;김영수 옮김,334.4 뚜297ㅇ,2019.11.04,2020.01.02
3837,A100373,3-4반-7,무슨 영화를 보겠다고,권오섭;최상훈 [공]지음,688.04 권65ㅁ,2019.11.04,2019.11.04
3838,A100415,2002-07-08,변신·소송,프란츠 카프카 지음;박제헌 옮김,853 카897ㅂ,2019.11.04,2019.11.11
3839,A100503,3-8반-18,오늘은 이만 좀 쉴게요,손힘찬 지음,818 손98ㅇ,2019.11.04,2019.11.06
3840,A100009,2002-05-01,음악 혐오,파스칼 키냐르 지음;김유진 옮김,670.1 키193ㅇ,2019.11.05,2019.11.06
3841,A100076,3-8반-2,맨발의 소녀,킴벌리 브루베이커 브래들리 지음;이계순 옮김,843 브293ㅁ,2019.11.05,2019.11.07
3842,A100076,3-8반-2,(이츠 카인드 오브 어)퍼니 스토리,네드 비지니 지음;안종설 옮김,843 비78ㅍ,2019.11.05,2019.11.07
3843,A100093,2002-07-03,예뻐지고 싶어,야나 프라이 지음;장혜경 옮김,853 프292ㅇ,2019.11.05,2019.12.03
3844,A100171,2002-11-08,내일은 해피엔딩,수진 닐슨 지음;김선희 옮김,843 닐57ㄴ,2019.11.05,2019.11.06
3845,A100246,3-4반-22,(김변의 방과 후)법률사무소,김민철 지음,360 김38ㅂ,2019.11.05,2019.11.12
3846,A100246,3-4반-22,어린 시민,아거 지음,378.9 아14ㅇ,2019.11.05,2019.11.12
3847,A100342,3-4반-6,페인트,이희영 지음,808.9 창48 v.89,2019.11.05,2019.11.11
3848,A100377,3-11반-7,죽고 싶지만 떡볶이는 먹고 싶어,백세희 지음,814.6 백54ㅈ,2019.11.05,2019.11.07
3849,A100377,3-11반-7,레몬,권여선 지음,813.6 권64ㄹ,2019.11.05,2019.11.07
3850,A100515,2002-06-28,아무도 날 사랑하지 않아,도리스 되리 지음;김라합 옮김,853 되298ㅇ,2019.11.05,2019.11.06
3851,A100009,2002-05-01,저는 심리학이 처음인데요,강현식,180 강94ㅈ,2019.11.06,2019.11.07
3852,A100009,2002-05-01,매일 심리학 공부,우리창 지음; 정세경 옮김,189.2 우298ㅁ,2019.11.06,2019.11.12
3853,A100194,2002-03-20,변신,히가시노 게이고 지음; 이선희 옮김,833.6 히12벼,2019.11.06,2019.11.07
3854,A100194,2002-03-20,(유혹에 빠지거나 매력에 미치거나)프랑스,박정은 지음,고      980.24 이49ㅈ v.8,2019.11.06,2019.11.07
3855,A100274,2002-08-17,여자 없는 남자들,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ,2019.11.06,2019.11.12
3856,A100302,2002-09-10,너를 봤어,김려령 지음,813.6 김294ㄴ,2019.11.06,2019.11.12
3857,A100009,2002-05-01,만화로 보는 록의 역사 . 1,남무성 글.그림,고 673.53 남37ㅁ v.1,2019.11.07,2019.11.11
3858,A100314,2002-05-08,친구한테 차이기 전 33분,토드 하삭-로위 지음;김영아 옮김,843 하52ㅊ,2019.11.07,2019.11.13
3859,A100314,2002-05-08,체리새우,황영미 지음,813.6 황64ㅊ,2019.11.07,2019.11.13
3860,A100071,2002-12-02,나를 보내지 마,가즈오 이시구로 지음;김남주 옮김,843 가77ㄴ c.2,2019.11.08,2019.11.11
3861,A100077,3-1빈-13,(초보자를 위한) autodesk 123D design과 3D 프린팅 입문서,조성일;노수황 [공]지음,004.76 조54ㅇ,2019.11.08,2019.11.12
3862,A100142,2002-12-07,젊은 예술가에게,아트온페이퍼 편집부 엮음;정아롱 옮김,600.4 아887ㅈ,2019.11.08,2019.11.15
3863,A100187,2002-07-20,양과 강철의 숲,미야시타 나츠 지음;이소담 옮김,833.6 미63ㅇ c.3,2019.11.08,2019.11.11
3864,A100199,2002-04-10,걱정을 해서 걱정이 없어지면 걱정이 없겠네,오시마 노부요리 지음;이승빈 옮김,181.7 오58ㄱ,2019.11.08,2019.11.22
3865,A100300,2002-04-12,이름을 훔친 소년,이꽃님 지음,813.7 이15ㅇ,2019.11.08,2019.11.15
3866,A100308,2002-12-10,"그믐, 또는 당신이 세계를 기억하는 방식",장강명 지음,813.7 장12ㄱ,2019.11.08,2019.11.11
3867,A100399,3-12반-12,나의 첫 젠더 수업,김고연주 지음,337.1 김15ㄴ c.4,2019.11.08,2019.11.12
3868,A100420,3-4반-27,길은 뜨겁다,임태희 지음,813.6 임883ㄱ,2019.11.08,2019.11.15
3869,A100430,2002-12-21,생명과학을 쉽게 쓰려고 노력했습니다,박종현 지음;마그 그림,470 박75ㅅ,2019.11.08,2019.11.15
3870,A100496,2002-08-28,아름다운 집,손석춘 지음,813.7 손54ㅇ c.2,2019.11.08,2019.11.11
3871,A100502,2002-10-15,아몬드,손원평 지음,813.6 손66ㅇ c.2,2019.11.08,2019.11.11
3872,A100194,2002-03-20,범인 없는 살인의 밤,히가시노 게이고 지음; 윤성원 옮김,833.6 히12버,2019.11.11,2019.11.18
3873,A100215,2002-10-10,도지마 저택 살인사건,아마노 세츠코 지음;김성미 옮김,833.6 아32ㄷ,2019.11.11,2019.11.18
3874,A100256,2002-01-11,해리포터와 아즈카반의 죄수. 3-1,조앤 K. 롤링 지음;김혜원 옮김,843 롤298ㅎ v.3-1,2019.11.11,2019.11.18
3875,A100336,2002-04-15,"프로이트의 꿈의 해석, 무의식에 비친 나를 찾아서",김서영 지음,185.5 김54ㅍ,2019.11.11,2019.11.12
3876,A100456,2002-09-24,중독의 농도,김민령 [외]지음,813.6 김38ㅈ,2019.11.11,2019.11.18
3877,A100491,3-3반-12,오만과 편견. 88,제인 오스틴 지음;윤지관;전승희 옮김,808.3 세14 v.88,2019.11.11,2019.11.18
3878,A100163,2002-09-18,중2병 대사전,노무라 마사타카 [외]저;이재경 번역,033 노36ㅈ,2019.11.12,2019.11.15
3879,A100217,2002-02-04,제7일,위화 지음;문현선 옮김,823.7 위95ㅈ c.3,2019.11.12,2019.11.12
3880,A100044,2002-08-01,파도가 바다의 일이라면,김연수 지음,813.6 김64ㅍ c.2,2019.11.15,2019.11.18
3881,A100161,,"문명과 수학. 4: 움직이는 세계, 미적분",EBS 교육방송 기획,410.9 이48ㅁ v.4,2019.11.15,2019.12.03
3882,A100163,2002-09-18,페미니즘 교실,김고연주 엮음;수신지 그림,337 김15ㅍ,2019.11.15,2019.11.22
3883,A100053,2002-10-02,인턴일기,홍순범 지음,818 홍56ㅇ,2019.11.18,2019.11.21
3884,A100082,3-2반-10,(모든 것이 연결되는 세상)사물인터넷,매일경제 IOT 혁명 프로젝트팀 지음,331.541 프295ㅅ,2019.11.18,2019.11.19
3885,A100119,2002-01-24,위험한 비너스,히가시노 게이고 지음;양윤옥 옮김,833.6 히12ㅇ,2019.11.18,2019.11.25
3886,A100119,2002-01-24,연애의 행방,히가시노 게이고 지음;양윤옥 옮김,833.6 히12ㅇ,2019.11.18,2019.11.25
3887,A100162,,3D 프린팅 디자인 북 with 퓨전 360 : 전문 디자이너가 알려주는 3D 프린팅 모델링과 제작비법,이승준,004.76 이57ㅆ,2019.11.18,2019.12.18
3888,A100165,2002-10-07,투 보이스 키싱,데이비드 리바이선 지음;김태령 옮김,843 리42ㅌ,2019.11.18,2019.11.19
3889,A100168,2002-11-07,나미야 잡화점의 기적,히가시노 게이고 저;양윤옥 옮김,833.6 히12ㄴ c.4,2019.11.18,2019.11.19
3890,A100215,2002-10-10,악의,히가시노 게이고 지음;양윤옥 옮김,833.6 히12ㅇ,2019.11.18,2019.11.25
3891,A100456,2002-09-24,관계의 온도,김리리 ...[등] 지음;유영진 엮음,813.6 김298ㄱ,2019.11.18,2019.11.25
3892,A100467,2002-10-14,(10대가 알아야 할)미래 직업의 이동,박종서;신지나;민준홍 [공]지음,336.24 박75ㅁ,2019.11.18,2019.11.19
3893,A100467,2002-10-14,내 머릿속에선 무슨 일이 벌어지고 있을까,김대식 지음,511.1813 김23ㄴ,2019.11.18,2019.11.19
3894,A100491,3-3반-12,"박막례, 이대로 죽을 순 없다",박막례;김유라 [공]지음,818 박32ㅂ,2019.11.18,2019.11.25
3895,A100491,3-3반-12,It works,RHJ 지음;서재경 옮김,199.1 자294ㅇ,2019.11.18,2019.11.25
3896,A100084,2002-10-03,굿 미 배드 미,알리 랜드 지음; 공민희 옮김,843 랜27ㄱ,2019.11.19,2019.12.18
3897,A100467,2002-10-14,영어 독서가 기적을 만든다,최영원 지음,740.7 최64ㅇ,2019.11.19,2019.11.25
3898,A100467,2002-10-14,"열여덟, 너의 존재감",박수현 지음,813.6 박56ㅇ,2019.11.19,2019.11.22
3899,A100134,,"요즘 애들, 요즘 어른들",김용섭 지음,331.2 김65ㅇ,2019.11.20,2019.12.20
